"","title","author","time","scraping_time","content_url","content","response","viewcount"
"1","15檔半導體股 法人買超強漲","大昌劉澤慧","2016-08-26_08:11","2016-08-27_20:25:08","http://www.moneydj.com/forum/showtopic-130160.aspx","15檔半導體股法人買超強漲台股昨（25）日在權值股強漲推升下，大漲98點收在9,115點，其中半導體在半導體B/B值連升等利多加持強漲，台積電（2330）、日月光（2311）等15檔法人買超強漲，可留意。國泰證期顧問處分析師蔡明翰說，台股重返所有均線，其中半導體指數強漲1.78％收126.99點，已站穩所有均線，將有機會往130點靠攏。蔡明翰說，台積電先進製程技術領先，全球市佔過半，營運動能強健，第3季單季營收將創歷史新高，7nm製程如火如荼進行製程驗證，2017年將進行試產，並將於1H18量產。因應產能建置需求，台積電調高資本支出至95到105億美元，為歷年新高，建議買進。蔡明翰說，半導體第3季特徵為12吋廠優於8吋廠、Apple動能優於非蘋、先進製程設備優於中低階設備等。北美半導體B/B已連8月守穩1以上，反映全球半導體加快設備投資。但元大投顧經理戴儀哲指出，市場傳出台積電拿下微軟24核心全像處理單元HPU處理器28奈米代工訂單，輝達新一代Parker處理器也由台積電代工。樂觀看待台積電接獲訂單，續看好其在先進製程長期競爭優勢，但認為其營收年增率高點恐將至，未來6到9個月台積電股價或整體產業恐難以超越大盤。該15檔法人買超由243張到1萬9,977張，在昨台股強漲1.09％下，漲幅由1.2％到5.7％，檔檔強過台股。世界股價低，落後補漲；iPhone7支援快充，創惟Y吃香；併購效益現，矽力-KY今年營收成長目標維持逾20％；台積電訂單爆增；力成7月營收達歷史第3高，第3季展望看雙位數增長；菱生毛利率穩，下半年若處份業外，今年可轉盈；同欣電第3季營收估季增個位數。轉貼自:http://www.chinatimes.com/newspapers/20160826000236-260206","0 "," 273"
"2","操盤心法－指數空間有限 謹慎為宜、換股操作","大昌樹林~游燕玲","2016-08-26_08:06","2016-08-27_20:25:09","http://www.moneydj.com/forum/showtopic-130158.aspx","盤勢分析：8月中旬台幣與韓圜同步回貶『獅子吼』，外資馬上大幅縮手，由於散戶介入程度低加上國內投資法人爛頭寸過多與操作績效要求尚不能離場，指數由漲勢轉為震盪整理。聯準會動向被奉為圭臬，本週全球央行年會並不會撕破臉，但葉倫與費雪鴿鷹派唱雙簧策略效果越來越小，就像『放羊的孩子』一樣，講久了大家就麻痺了，然後狼才會出現。基本上，貨幣政策特性就是『太遲且太猛』，理論上QE結束後就應回正常，無奈去年迄今全年經濟成長低迷，Fed只在去年底宣布升息1次，拖得越久傷害越大，一個個的金融泡沫都要將面臨資金面趨緊的考驗，且各金融商品複雜連動關係會讓市場反應更撲朔迷離，對指數與市場應謹慎為宜。台股技術面上週五（8/19）長黑後本週試圖反彈，均線架構轉為區間震盪導致成交量萎縮，季線目前處於8,900點，月底前將拉高至9,000點附近多空對決：過去經驗是高檔量縮破季線就是多頭退敗丟盔棄甲，多頭逆轉勝的方式是美股繼續大漲、台幣重啟升值及外資買盤再增500億元以上。台積電股價仍是指數最重要參考依據：ICInsights公布2016年純晶圓代工廠商營收報告：今年純晶圓代工廠商銷售成長9％高於去年的6％，也優於整體IC市場衰退2％的表現，獲利部分台積電比率高達58％，勝者為王。展望未來，英特爾宣布與ARM達成授權協議，企圖拉攏LG、展訊等客戶為其代工，而三星也改變策略改採小批量接單「開放式晶圓代工」。拉攏小客戶符合未來物聯網潮流，指數－台積電－外資『三位一體』關係不變。大立光7月營收45.9億元較6月成長27％，但比去年同期衰退13％。累計1-7月營收229億元較去年同期衰退23％，股價能夠強勢主因還是外資熱錢炒作iPhone7雙鏡頭題材，由於雙鏡頭將只配置在大尺寸plus機種，所以9月iPhone7正式發表後，若外資反手獲利了結，股價可能有修正壓力。鴻海集團也是近日焦點：旗艦股鴻海展現季線的支撐性，但外資持續賣超近10天，蘋果未來利潤來自『供應鏈管理』；鴻準第二季業績帶動股價波段上漲，而低價的台揚、廣宇、建漢聯袂轉強成為轉機股的代表。金融股本週熱熱鬧鬧，國泰金、富邦金、中信金、潤泰、兆豐金都頻上媒體，其中外資持續加碼的國泰金與富邦金股價相對強勢，有望突破8/10指數創9,200點相對位置，但金融股終究是配角，雖有表現空間但無法扭轉指數進入整理的架構。投資策略：7月底指數收8,984點，迄今8月表現仍是上漲，但多數操作者8月賠錢居多，形成『賺指數賠差價』的高檔慣性，因此操作策略以『換股』為主：1.大盤跌破月線後企圖反攻，若個股直接沿5日均線下跌者建議反彈調節。2.指數8/10創9,200點拉回，股價卻能持續往上走者是拉回量縮佈局的標的。3.外資概念股應該要小心：外資買盤耗竭轉賣個股，觀望為宜。http://www.chinatimes.com/newspapers/20160826000239-260206","0 "," 126"
"3","籌碼安定股 領漲指標~","大昌廖維凌","2016-08-26_08:06","2016-08-27_20:25:11","http://www.moneydj.com/forum/showtopic-130157.aspx","台股昨（25）日多頭攻勢再起，指數站上9,100點；現階段雖盤勢高檔震盪，但國泰金（2882）、和碩、長榮航等「籌碼安定」族群，近期融資減少逾千張、法人逆勢加碼千張以上，短線將躍居領漲抗跌指標。全曜財經資深分析師陳唯泰表示，儘管昨天盤中一度在9,100點上下震盪，但尾盤順利站上9,100點，顯示盤勢依然是由多方主導，後續量能若穩定回升，台股可望繼續上攻9,200點。以法人為導向的台股盤勢中，目前融資餘額降幅較大、且法人逆勢加碼族群，因籌碼相對沉澱，在近期大盤高檔震盪的過程中，成為市場資金的避風港。根據統計，8月以來，融資餘額減少超過千張、且法人逆勢加碼千張以上的上市櫃個股共計有13檔，主要分布在半導體、網通、電腦週邊等電子股，以及金融、航運、電機等傳產族群。觀察法人買賣動態，8月以來，包括國泰金、富邦金、和碩、中壽、開發金、長榮航等，均各獲萬張以上的法人買單進駐。8月以來，以長榮航融資減少1.5萬張最多，開發金減少9,749張、元大金減少8,491張；另外，中壽、富邦金、聯發科等，融券也減少逾2,000張，顯示這些融資減、法人買的個股籌碼，由散戶轉至法人手中。大華國際投顧副總經理蔡正華表示，短線上台股多空震盪，部分個股出現籌碼凌亂的徵兆，但融資減少、法人逆勢加碼的個股，仍是值得投資人逢低布局，股價後勢可望出現表現的機會。展望盤勢，台股雖已漲多來到相對高檔附近，上檔仍有獲利了結壓力，盤勢後市能否持續攻堅，主要變數仍在國際股市動向。而占台股成交比重高的外資買盤是否續買，亦攸關大盤表現。籌碼安定族群圖／經濟日報提供http://udn.com/news/story/7251/1919498本文轉載自:http://udn.com/news/story/7251/1919498","0 "," 267"
"4","戰情中心即時訊息-8/16除權息","台新小新","2016-08-16_09:18","2016-08-27_20:25:13","http://www.moneydj.com/forum/showtopic-129511.aspx","2016-08-16_091223.png(27.64K)2016/8/17下午04:21:55說明：「除息影響點數」欄位空白者為上櫃公司，不影響加權指數。資料來源：台新投顧台新證小新懂生活就懂投資，您證券投資的智慧好夥伴！最新優惠活動：開戶立即享證券電子下單手續費優惠信用開戶e指通-免出門、免臨櫃，手機一滑輕鬆申辦開戶賞好禮-證券下單我最省，再A下單抵用金！---------------------------------------------------免臨櫃線上開戶由此進請專人與我聯絡","1 "," 146"
"5","生技展腳步近 生技股集氣","大昌以琳","2016-07-15_20:16","2016-08-27_20:25:15","http://www.moneydj.com/forum/showtopic-127750.aspx","一年一度的台灣生物科技大展將在下周登場，展期由7月21日到24日為期四天，將為7月生技月創造高潮。法人表示，近期多家生技公司將發布上半年業績，配合生技展題材，相關的生物製藥、醫療器材、美容保養、保健食品等，都可望成為未來的盤面焦點。每年國內7月的生技展為業界盛事，今年也不例外，總計參展的廠商超過600家，預計吸引9萬多人次的歐美、大陸與亞洲等專業人士前來看展。展覽特色結合了生技、製藥、美容保養與保健等多元項目，還包括了一場論壇、一場研討會與各式主題研討會、商機媒合等，內容豐富多元。法人指出，生技展期間，多家廠商將舉辦業績發表會，包括浩鼎（4174）、安成藥（4180）、杏國（4192）、智擎（4162）等，可望搭配生技展炒熱市場人氣。第一金店頭市場基金經理人陳思銘表示，全球人口老化趨勢加快，催動生技醫療的需求大幅增加，包括：製藥、醫材、美容保健等都可望受惠。而如果以成長潛力來看，較看好醫材與美容保健兩大領域，預估至2019年規模均可達4,500億美元左右。因為資訊科技、感測技術、資料分析等高度發展，帶來全新的醫療模式，許多新式的醫材設備都可以滿足當前的「精準治療」需求。以血糖檢測儀來說，可以做到非侵入式的光學檢測方式，降低患者的影響，兼顧成效，達到共同監控病情的目的。而美容保健在延緩老化帶動下，各種化妝品、面膜、維他命等保健食品的需求發燒。國內面膜年產值便超過200億元，堪稱生技產業的隱型冠軍，值得留意。一年一度的台灣生物科技大展將在下周登場，展期由7月21日到24日為期四天，將為7月生技月創造高潮。法人表示，近期多家生技公司將發布上半年業績，配合生技展題材，相關的生物製藥、醫療器材、美容保養、保健食品等，都可望成為未來的盤面焦點。每年國內7月的生技展為業界盛事，今年也不例外，總計參展的廠商超過600家，預計吸引9萬多人次的歐美、大陸與亞洲等專業人士前來看展。展覽特色結合了生技、製藥、美容保養與保健等多元項目，還包括了一場論壇、一場研討會與各式主題研討會、商機媒合等，內容豐富多元。法人指出，生技展期間，多家廠商將舉辦業績發表會，包括浩鼎（4174）、安成藥（4180）、杏國（4192）、智擎（4162）等，可望搭配生技展炒熱市場人氣。第一金店頭市場基金經理人陳思銘表示，全球人口老化趨勢加快，催動生技醫療的需求大幅增加，包括：製藥、醫材、美容保健等都可望受惠。而如果以成長潛力來看，較看好醫材與美容保健兩大領域，預估至2019年規模均可達4,500億美元左右。因為資訊科技、感測技術、資料分析等高度發展，帶來全新的醫療模式，許多新式的醫材設備都可以滿足當前的「精準治療」需求。以血糖檢測儀來說，可以做到非侵入式的光學檢測方式，降低患者的影響，兼顧成效，達到共同監控病情的目的。而美容保健在延緩老化帶動下，各種化妝品、面膜、維他命等保健食品的需求發燒。國內面膜年產值便超過200億元，堪稱生技產業的隱型冠軍，值得留意。","2 "," 1578"
"6","2016/08/26 台股操作建議及各類股趨勢","meewu","2016-08-25_19:10","2016-08-27_20:25:16","http://www.moneydj.com/forum/showtopic-130140.aspx","20160826.jpg(157.08K)2016/8/25下午07:10:08按我下載軟體▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇加權股價105年8月26日短線操作建議買進條件一、8月26日盤中指數超過9125以上，可擇低買進。▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇大台指105年8月26日短線操作建議一、持股續抱。買進條件一、8月26日盤中成交價超過9083.00，且預估成交量可達132000以上，則可買進或加碼。二、8月26日最低價高於9082.00，亦可買進或加碼。賣出條件一、8月26日盤中價格跌破8902.00，則應賣出持股，退場觀望。▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇小台指105年8月26日短線操作建議一、持股續抱。買進條件一、8月26日盤中成交價超過9083.00，且預估成交量可達92000以上，則可買進或加碼。二、8月26日最低價高於9081.00，亦可買進或加碼。賣出條件一、8月26日盤中價格跌破8902.00，則應賣出持股，退場觀望。▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇電子期105年8月26日短線操作建議一、持股續抱。買進條件一、8月26日盤中成交價超過370.70，且預估成交量可達3700以上，則可買進或加碼。二、8月26日最低價高於370.70，亦可買進或加碼。賣出條件一、8月26日盤中價格跌破360.65，則應賣出持股，退場觀望。▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇金融期105年8月26日短線操作建議一、持股續抱。買進條件一、8月26日盤中成交價超過994.00，且預估成交量可達3100以上，則可買進或加碼。二、8月26日最低價高於991.60，亦可買進或加碼。賣出條件一、8月26日盤中價格跌破969.20，則應賣出持股，退場觀望。▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇","0 "," 316"
"7","日圓急升 優勢產業股出列","大昌以琳","2016-08-25_17:13","2016-08-27_20:25:18","http://www.moneydj.com/forum/showtopic-130135.aspx","今年在已開發國家中，截至目前日圓兌美元已漲近20%，成為漲幅最大的貨幣，花旗集團更預期，日圓匯價在下個月可能漲至1美元兌95日圓。受日圓強勁升值影響，相關如光學、PCB、被動元件及工具機等族群，因匯率走勢有利產業發展，可望成為最大的受惠股。大展投顧策略長李政諺表示，日圓強升，市場對於與日本有競爭關係的相關族群，受惠升值題材的想像空間提升。不過投資人仍需留意，雖然日幣強升確實對於台灣的廠商接單有幫助，但最終仍得觀察該產業的終端需求是否夠帶勁，若總體市場需求沒有提升，也是削弱日圓升值台廠受惠的力道，且有些台廠與日本廠商雖屬於上下游供應鏈的關係，不過價格合約也許一年前就談好，未必是跟著匯率的浮動機制。李政諺指出，以今年市況表現而言，工具機和被動元件受惠的效益最大。以工具機族群而言，上銀主要產品包括線性滑軌、滾珠螺桿與工業機器人，目前競爭對手以日廠THK、NSK為主，在報價接單上或許會有轉單效益出現，不過工具機整機廠就未必會受惠。而如被動元件美磊，今年切入微型一體成型扼流器產品，在打入韓系手機客戶，且擴大搶進筆電、網通市場，目前出貨已逐步放量，加上今年市況本來就不差，不管有沒有匯率的加持，都可望有不錯的表現。由於日央7月會議的寬鬆力道不如預期，至今仍未推出更強而有力的寬鬆政策，加上目前股市也呈現在高檔，李政諺預期，日圓後續持續走高的可能性還是較大。若美國聯準會延遲升息，美元將持續表現弱勢，若推升日圓升破100的重要技術面關卡，資金湧入日圓的速度將會將大，日圓更不易轉弱。","0 "," 890"
"8","上海股民以台股超亮麗表現酸自家證監會","tele","2016-08-25_15:37","2016-08-27_20:25:20","http://www.moneydj.com/forum/showtopic-130133.aspx","相對陸股而言,到底台股突破9000是有機之彈還是等原型畢露?難怪突破9000後媒體把證券帳戶餘額激增現象解讀成""散戶回籠""而視為利多?我也是散戶,可是依我判斷這種消息反讓我起雞皮疙瘩,總覺得狼向羊拜年般不安好心眼!","0 "," 211"
"9","2016/08/25 盤後報~","sdanny","2016-08-25_15:20","2016-08-27_20:25:22","http://www.moneydj.com/forum/showtopic-130131.aspx","8252.jpg(114.32K)2016/8/25下午03:19:53","0 "," 123"
"10","台股盤中～多頭搶攻月線,缺量恐陷整理","台新小新","2016-08-25_14:20","2016-08-27_20:25:24","http://www.moneydj.com/forum/showtopic-130128.aspx","台股在跌破月線後近3日出現反彈，今日指數表現優於其它亞股，然而由於量能不足，台新投顧研究部協理黃文清預期，台股將持續區間震盪格局，指數有可能在9000點上下200點的區間內整理，選股上以最後一波除權息重點股、基期低個股以及出現利多訊息的個股較有表現機會。台股今日在開紅盤後指數維持0.5%以上的漲勢，徘迴在9100點關卡前，相較於其它亞股表現亮眼，黃文清指出，今日台股表現較預期強，大盤指數在跌破月線後連續3天反彈，今日更試圖挑戰收復月線，若真能站上月線，後續多頭要攻擊就更有力道。不過黃文清也指出，台股量能仍小，外資雖然在期貨仍是多單布局，不過現貨開始小賣，雖然說不上是明顯翻空之舉，但大盤要上攻缺乏外資火力支援難如願以償。黃文清分析，整體來說台股走的是區間震盪的盤整格局，短線上觀察指標為是否攻克月線。黃文清進一步分析，今日台股漲的都是有題材性的股票，像是市況佳的面板、傳有策略聯盟計畫的金融類股，以及基本面表現較強的半導體類股等，族群間輪動健康，後續應聚焦除權息重點股、基期低個股及擁利多訊息的個股。資料來源：蘋果日報台新證小新懂生活就懂投資，您證券投資的智慧好夥伴！最新優惠活動：開戶立即享證券電子下單手續費優惠信用開戶e指通-免出門、免臨櫃，手機一滑輕鬆申辦開戶賞好禮-證券下單我最省，再A下單抵用金！---------------------------------------------------免臨櫃線上開戶由此進請專人與我聯絡button.jpg(7.34K)2016/8/26下午04:34:50","0 "," 121"
