"","date","time","people","status","title","content"
"1","<U+00A0>105/08/18","<U+00A0>17:33:52","<U+00A0>陳佳琦","<U+00A0>佐登國際總經理","<U+00A0>
董事會決議105年第一次限制員工權利新股發行之增資基準日","1.事實發生日:105/08/18
2.公司名稱:佐登妮絲集團股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:
(1)本公司於105年8月18日董事會決議通過105年度第一次限制員工權利新股增資基準日
為105年8月30日。
(2)本公司發行限制員工權利新股案，業經金融監督管理委員會105年8月2日金管證發字
第1050029430號函申報生效。
6.因應措施:無
7.其他應敘明事項:依發行辦法，於主管機關申報生效通知到達之日起一年內，得視實際
需要，一次或分次發行。"
"2","<U+00A0>105/08/18","<U+00A0>17:38:46","<U+00A0>陳良波","<U+00A0>總經理","<U+00A0>
本公司接獲公開收購人欣銓科技股份有限公司公開收購本公司
已發行之普通股，已達預定收購數量及公開收購條件成就之通知","1.事實發生日:105/08/18
2.公司名稱:全智科技股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:
本公司於民國(下同)105年08月18日接獲欣銓科技股份有限公司(以下簡稱「公開收購
人」)通知，截至105年08月18日本公司股東累計應賣股數已超過預定最低收購數
量42,178,000股，本次公開收購之條件已成就。
6.因應措施:
本次公開收購尚未截止，公開收購人將持續公開收購本公司已發行之普通股至
105年8月25日下午3點30分。提醒欲參與應賣之本公司股東，請儘速持證券存摺
與留存印鑑至原開戶證券商處，辦理應賣手續。
7.其他應敘明事項:
(1)依公開收購公開發行公司有價證券管理辦法第19條第4項規定，應賣人於公開
收購人依法令公告公開收購條件成就後，除法令另有規定外，不得撤銷其應賣。
(2)應賣股數已超過預定收購數量，如無因假扣押、假處分等保全程序或強制執
行程序，或出現其他轉讓之限制，使已應賣股份視為自始未提出應賣，且無其
經主管機關核准後得停止公開收購之情事，本次公開收購將於公開收購期間屆滿
後5個營業日以內(含第5個營業日)辦理應賣股份交割及收購對價支付事宜。"
"3","<U+00A0>105/08/18","<U+00A0>17:40:48","<U+00A0>黃和村","<U+00A0>總經理","<U+00A0>
公告本公司受邀參加第一金證券舉辦之「2016年Q3投資座談會」","符合條款第四條第XX款：12
事實發生日：105/08/19
1.召開法人說明會之日期：105/08/19
2.召開法人說明會之時間：14 時 00 分 
3.召開法人說明會之地點：第一金證券總公司(台北市長安東路一段22號7F)
4.法人說明會擇要訊息：會中就本公司已公開之財務數字、經營績效等相關資訊做說明，詳情請參閱公開資訊觀測站。
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
"4","<U+00A0>105/08/18","<U+00A0>17:43:06","<U+00A0>劉桂君","<U+00A0>經理","<U+00A0>
補充公告本公司子公司建泰橡膠(深圳)有限公司所在項目土地
城市更新合作案，其合作協議書部分內容修正。","1.事實發生日:105/08/18
2.公司名稱:建大工業股份有限公司
3.與公司關係(請輸入本公司或子公司):子公司
4.相互持股比例:不適用
5.傳播媒體名稱:無
6.報導內容:無
7.發生緣由:
 因應當地不動產變化，為求本公司與相對人所簽署之合作協議書得更符合雙方權益。
8.因應措施:
(1)雙方合意修正於103/10/13所簽訂之合作協議書部分內容。
(2)本修正僅涉及合建分屋比例範圍之變化，由原「地主預計33%~40%、建主67%~60%」，
修正為「地主預計35%~45%、建主65%~55%」。
(3)其餘條款仍依原合作協議履行。
9.其他應敘明事項:無
實際分屋比例最終仍以中國深圳市核准城市更新規劃專案批復文件所載為準。"
"5","<U+00A0>105/08/18","<U+00A0>17:44:27","<U+00A0>陳修偉","<U+00A0>資深副總經理","<U+00A0>
元大金控代子公司元大銀行公告處分日月光半導體股份有限公司
之可轉換公司債相關資訊","1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
日月光半導體股份有限公司之可轉換公司債。
2.事實發生日:105/8/18~105/8/18
3.交易單位數量、每單位價格及交易總金額:
日月光之可轉換公司債資產交換美金4,000仟元，加計利息美金22仟元，
合計美金4,022仟元。
約當新臺幣126,488,994元整(匯率31.452) 。
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
交易相對人：摩根大通銀行。
與公司之關係：無。
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用。
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用。
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
關係人：日月光半導體股份有限公司。
帳面金額：美金4,000仟元。
8.處分利益（或損失）（取得有價證券者不適用）（遞延者應列表說明
認列情形）:
處分利益美金22仟元。
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
交付或付款條件：依交易時程繳付。
契約限制條款及其他重要約定：無。
10.本次交易之決定方式、價格決定之參考依據及決策單位:
本次交易之決定方式、價格決定之參考依據：依合約之約定；決策單位：董事會。
11.取得或處分有價證券標的公司每股淨值:
不適用
12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
累積持有金額：美金14,000仟元。
持股比例：不適用。
權利受限情形：無。
13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額:
占總資產之比例： 26.67%。
占歸屬於母公司業主之權益之比例：398.26%。
最近期財務報表中營運資金數額：銀行業不適用。
14.經紀人及經紀費用:
不適用。
15.取得或處分之具體目的或用途:
交易對手執行權利。
16.本次交易表示異議董事之意見:
無。
17.本次交易為關係人交易:是
18.董事會通過日期:
民國105 年8月 4日
19.監察人承認或審計委員會同意日期:
1.不適用。
2.為金融控股公司法第45條之利害關係人交易。
20.本次交易會計師出具非合理性意見:否
21.其他敘明事項:
無"
"6","<U+00A0>105/08/18","<U+00A0>17:45:14","<U+00A0>牟瑞德","<U+00A0>總經理","<U+00A0>
更正本公司105年07月實際營業收入資訊","1.事實發生日:105/08/18
2.公司名稱:華亞科技股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:本公司所採用之移轉價格係按客戶當月及前兩個月份之
平均銷售價格計算，但客戶因結帳週期無法在每月十日前提供最終
售價，故公司配合法令於每月十日前公告之上月營收係暫估數；為
能正確反映最終售價，公司將每月另行公告上月實際營收金額。
6.更正資訊項目/報表名稱:105年07月合併營收申報金額
7.更正前金額/內容/頁次:

單位：新台幣仟元
                           08/08公告數
                           ----------
07月營業收入淨額            4,127,137
本年累計營業收入淨額       26,523,852
8.更正後金額/內容/頁次:

單位：新台幣仟元
                             實際數
                           ----------
07月營業收入淨額            4,424,300
本年累計營業收入淨額       26,821,015

9.因應措施:於公開資訊觀測站發佈重大訊息並重新上傳更正後之資料。
10.其他應敘明事項:無。"
"7","<U+00A0>105/08/18","<U+00A0>17:53:35","<U+00A0>薛亦駿","<U+00A0>財務長","<U+00A0>
公告本公司受邀參加臺灣證券交易所舉辦之業績發表會","符合條款第四條第XX款：12
事實發生日：105/08/23
1.召開法人說明會之日期：105/08/23
2.召開法人說明會之時間：14 時 30 分 
3.召開法人說明會之地點：臺灣證券交易所(台北市信義路五段7號1樓資訊展示中心)。
4.法人說明會擇要訊息：說明本公司財務及業務狀況。
5.其他應敘明事項：簡報資料請參閱公開資訊觀測站或本公司網站之投資人服務。
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
"8","<U+00A0>105/08/18","<U+00A0>17:54:10","<U+00A0>薛亦駿","<U+00A0>財務長","<U+00A0>
公告本公司獨立董事辭任","1.發生變動日期:105/08/18
2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、自然人董事
  或自然人監察人）:獨立董事
3.舊任者職稱、姓名及簡歷:呂桔誠，慧洋海運股份有限公司獨立董事。
4.新任者職稱、姓名及簡歷:無
5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:辭職
6.異動原因:因受邀擔任政府公職，辭任本公司獨立董事職位。
7.新任者選任時持股數:不適用
8.原任期（例xx/xx/xx ~ xx/xx/xx）:104/05/29~107/05/28
9.新任生效日期:不適用
10.同任期董事變動比率:11.11%
11.同任期獨立董事變動比率:20.00%
12.同任期監察人變動比率:不適用
13.屬三分之一以上董事發生變動（請輸入是或否）:否
14.其他應敘明事項:辭任書載明辭職生效日為105/08/30。"
"9","<U+00A0>105/08/18","<U+00A0>17:54:36","<U+00A0>薛亦駿","<U+00A0>財務長","<U+00A0>
公告本公司審計、提名委員會委員及薪酬委員會召集人辭任","1.發生變動日期:105/08/18
2.功能性委員會名稱:審計委員會、提名委員會及薪酬委員會
3.舊任者姓名及簡歷:呂桔誠，慧洋海運股份有限公司獨立董事。
4.新任者姓名及簡歷:無
5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:辭職
6.異動原因:因受邀擔任政府公職，辭任本公司獨立董事職位。
7.原任期（例xx/xx/xx ~ xx/xx/xx）:
審計委員會任期：104/05/29~107/05/28
提名委員會任期：104/05/29~107/05/28
薪酬委員會任期：104/05/29~107/05/28
8.新任生效日期:不適用
9.其他應敘明事項:辭任書載明辭職生效日為105/08/30。"
"10","<U+00A0>105/08/18","<U+00A0>17:54:57","<U+00A0>陳立濬","<U+00A0>特別助理","<U+00A0>
公告有關新北地檢署至本公司查核說明","1.事實發生日:105/08/18
2.公司名稱:悠克國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:有關本公司訴訟案說明
6.因應措施:本公司所有作業均依照相關規定辦理，將全力配合檢調單位調查，
該調查程序目前對本公司財務與業務並無影響。
7.其他應敘明事項:
1.本公司於105/3/14及105/5/20對本公司部分投資案及交易對象發生商業糾紛
業已提出民事、刑事訴訟案，昨日經新北地方法院檢察署到公司進行資料搜證。
2.本公司營運一切正常，將持續配合檢調單位調查工作。"
